"Activity_ID","ActivityNumber","ActivityName","SeasonName","ChildSeasonName","Type","Status","CategoryName","OtherCategoryName","RiskCategoryName","EnrollMin","EnrollMax","NumberEnrolled","BeginningDate","EndingDate","StartingTime","EndingTime","AgesMin","AgesMinMonth","AgesMinWeek","AgesMax","AgesMaxMonth","AgesMaxWeek","GradeMin","GradeMax","WeekDays","PrimaryInstructorName","NumberOfHours","NumberOfDates","ActivityLocation","FeeDescription","AccountName","KeyFeesTotal","OtherFeesTotal","FeeSummary","Description","PublicURL"
76741,"382.2.0212","Hip Hop/Jazz dance","Fall 2018","--","Classes","Open","Dance","Camden Community Center",,5,"17",4,"9/13/18","11/1/18","6:45 PM","7:40 PM",5,0,0,12,11,4,,,"Th","Dance Arts Academy, Staff","7.333",8,"CM Classroom C at Camden Community Center","Activity Fee","Camden - Leisure Classes","102.00","106.00","Resident: $102.00. Non-resident: $106.00","Learn both Hip-Hop and Jazz dance moves in this high energy class. Parents are allowed to stay for the first 10 minutes on the first day of class and are encouraged to attend the last class for a great recital.","http://apm.activecommunities.com/sanjoseparksandrec/Activity_Search/76741"
76758,"382.2.0219","Hip Hop/Jazz Dance","Fall 2018","--","Classes","Open","Dance","Camden Community Center",,5,"17",1,"11/15/18","12/13/18","6:45 PM","7:40 PM",5,0,0,12,11,4,,,"Th","Dance Arts Academy, Staff","3.667",4,"CM Classroom C at Camden Community Center","Activity Fee","Camden - Leisure Classes","51.00","55.00","Resident: $51.00. Non-resident: $55.00","Learn both Hip-Hop and Jazz dance moves in this high energy class. Parents are allowed to stay for the first 10 minutes on the first day of class and are encouraged to attend the last class for a great recital.","http://apm.activecommunities.com/sanjoseparksandrec/Activity_Search/76758"
76737,"382.2.0208","Mini Gym Stars","Fall 2018","--","Classes","Open","Dance","Camden Community Center",,5,"17",4,"9/10/18","11/5/18","4:00 PM","4:55 PM",3,0,0,6,11,4,,,"M","Dance Arts Academy, Staff","7.333",8,"CM Dance Studio at Camden Community Center","Activity Fee","Camden - Leisure Classes","102.00","106.00","Resident: $102.00. Non-resident: $106.00"," A great beginner gymnastic class teaching basic gymnastic skills, including movement exploration, balance, and coordination, and at the same time teaching agility and improving motor skills. Parents are allowed to stay for the first 10 minutes on the first day of class and are encouraged to attend the last class for a great recital.  ","http://apm.activecommunities.com/sanjoseparksandrec/Activity_Search/76737"
76754,"382.2.0215","Mini Gym Stars","Fall 2018","--","Classes","Open","Dance","Camden Community Center",,5,"17",0,"11/19/18","12/10/18","4:00 PM","4:55 PM",3,0,0,7,11,4,,,"M","Dance Arts Academy, Staff","3.667",4,"CM Dance Studio at Camden Community Center","Activity Fee","Camden - Leisure Classes","51.00","55.00","Resident: $51.00. Non-resident: $55.00","A great beginner gymnastic class teaching basic gymnastic skills, including movement exploration, balance, and coordination, and at the same time teaching agility and improving motor skills. Parents are allowed to stay for the first 10 minutes on the first day of class and are encouraged to attend the last class for a great recital.","http://apm.activecommunities.com/sanjoseparksandrec/Activity_Search/76754"
76739,"382.2.0210","Musical Theater","Fall 2018","--","Classes","Open","Dance","Camden Community Center",,5,"17",7,"9/10/18","11/5/18","6:00 PM","6:55 PM",5,0,0,12,11,4,,,"M","Dance Arts Academy, Staff","7.333",8,"CM Dance Studio at Camden Community Center","Activity Fee","Camden - Leisure Classes","102.00","106.00","Resident: $102.00. Non-resident: $106.00","   Learn to perform like your favorite stars in popular tv shows!  Both song and dance instruction will be covered!  Students will learn a great musical theater routine that they will perform for parents on the final day of class! ","http://apm.activecommunities.com/sanjoseparksandrec/Activity_Search/76739"
76756,"382.2.0217","Musical Theater","Fall 2018","--","Classes","Open","Dance","Camden Community Center",,5,"17",3,"11/19/18","12/10/18","6:00 PM","6:55 PM",5,0,0,12,11,4,,,"M","Dance Arts Academy, Staff","3.667",4,"CM Dance Studio at Camden Community Center","Activity Fee","Camden - Leisure Classes","51.00","55.00","Resident: $51.00. Non-resident: $55.00","Learn to perform like your favorite stars in popular tv shows!  Both song and dance instruction will be covered!  Students will learn a great musical theater routine that they will perform for parents on the final day of class!","http://apm.activecommunities.com/sanjoseparksandrec/Activity_Search/76756"
76735,"382.2.0206","Parent/Tot Dance & Gym","Fall 2018","--","Classes","Open","Dance","Camden Community Center",,5,"17",3,"9/10/18","11/5/18","10:30 AM","11:25 AM",1,5,0,3,11,4,,,"M","Dance Arts Academy, Staff","7.333",8,"CM Dance Studio at Camden Community Center","Activity Fee","Camden - Leisure Classes","102.00","106.00","Resident: $102.00. Non-resident: $106.00","Calling all active toddlers! Beginning gymnastic skills, tumbling, parachute fun, bubbles and many other gym activities will be taught in this fun class. Parent (or other adult) participation in class is required.","http://apm.activecommunities.com/sanjoseparksandrec/Activity_Search/76735"
76751,"382.2.0213","Parent/Tot Gym","Fall 2018","--","Classes","Open","Dance","Camden Community Center",,5,"17",2,"11/19/18","12/10/18","10:30 AM","11:25 AM",1,5,0,3,11,4,,,"M","Dance Arts Academy, Staff","3.667",4,"CM Dance Studio at Camden Community Center","Activity Fee","Camden - Leisure Classes","51.00","55.00","Resident: $51.00. Non-resident: $55.00","Calling all active toddlers! Beginning gymnastic skills, tumbling, parachute fun, bubbles and many other gym activities will be taught in this fun class. Parent (or other adult) participation in class is required.      ","http://apm.activecommunities.com/sanjoseparksandrec/Activity_Search/76751"
76710,"382.2.0201","Pre-Ballet","Fall 2018","--","Classes","Open","Dance","Camden Community Center",,6,"12",2,"9/13/18","11/1/18","11:10 AM","11:55 AM",3,0,0,5,11,4,,,"Th","CLAP, Staff","6.000",8,"CM Classroom 6 at Camden Community Center","Activity Fee","Camden - Leisure Classes","115.00","119.00","Resident: $115.00. Non-resident: $119.00","A first introduction to ballet - children learn basic ballet positions, steps and routines. They dance to a variety of ballet and age-appropriate music, use props and have lots of fun!   Parents may stay for first 10 min of first class and are invited back at the end of program for a class demonstration. Suggested Attire: Comfortable clothes or leotards, tights and tutus. Students may dance barefoot or wear ballet shoes.","http://apm.activecommunities.com/sanjoseparksandrec/Activity_Search/76710"
77096,"382.2.0290","Square Dancing","Fall 2018","--","Classes","Open","Dance","Camden Community Center",,0,"50",0,"9/11/18","6/18/19","6:30 PM","8:30 PM",18,0,0,99,11,4,,,"Tu","Clark, Michael","76.000",38,"CM Classroom 2 at Camden Community Center","Program Fee","Camden - Leisure Classes","7.00","0","Standard charge: $7.00","Square Dancing is lots of fun. In addition, this activity has all of the elements of a healthy life style! Enjoy the light aerobic exercise, the mental stimulation of learning a new skill, and the pleasure of making new friends. The caller sings directions set to music and the eight dancers in the square act as a team to complete the calls. No special dress is required; just wear comfortable non-marring shoes. This class is for adult couples and singles and is a progressive class that is open to dancers with no experience as well as returning dancers who want to refresh their skills. Co-sponsored by The Committee To Promote Square Dancing www.c-p-s-d.orgFree lessons on September 11, 18 & 25! Then just $7.00 per weekly class.","http://apm.activecommunities.com/sanjoseparksandrec/Activity_Search/77096"
